host,accesses, distinct client count
130.223.120.25:81, 15, 1, 
192.168.5.204, 2, 1, 
172.20.20.242:8080, 1, 1, 
strawberry-garden.kazusa.or.jp, 197, 16, 
forestrylab.org, 7, 4, 
128.178.187.147, 580, 23, 
vollbrechtlab-dev.gdcb.iastate.edu, 27, 3, 
blade02.platomics.com, 5, 2, 
192.168.56.65:8080, 2, 1, 
bonobo.amu.edu.pl, 21, 2, 
134.192.156.78:8080, 32, 6, 
pieriandxtest.pieriandx.com, 773, 24, 
demo.pieriandx.com, 3351, 178, 
34083ca3.nat123.cc:49511, 13, 2, 
hlitest.pieriandx.com, 50, 5, 
moffitttest.pieriandx.com, 74, 25, 
chicken-repeats.inra.fr, 21, 15, 
allbt.iptime.org, 1, 1, 
10.189.158.230:8000, 10, 2, 
www.marinegenome.kr, 12, 1, 
jasontdean.com, 4, 4, 
192.168.79.129, 13, 1, 
mml.siaminterlink.com, 1, 1, 
compbio.korea.ac.kr, 21, 6, 
192.168.225.144, 1, 1, 
42.184.0.119, 3, 1, 
192.168.1.114, 1, 1, 
www.chula.vardetect.com, 2, 1, 
galaxy.gpi.westernsydney.edu.au, 2, 2, 
siaminterlink.com, 2, 1, 
192.168.1.211:8000, 14, 1, 
119.15.169.71, 78, 4, 
mel-hp-z800-workstation:3232, 2, 1, 
10.60.65.10, 44, 1, 
localhost:8501, 4, 1, 
127.0.0.1:3232, 9, 1, 
172.17.64.102:3232, 122, 1, 
192.168.1.3, 62, 2, 
10.49.121.5, 745, 2, 
dmb-cosmic.sandbox.sanger.ac.uk, 102, 8, 
134.158.151.66, 72, 11, 
localhost:8094, 12, 2, 
q2test.pieriandx.com, 4, 3, 
peanutbase-stage.usda.iastate.edu, 487, 4, 
wu6471.test.databiology.io, 1, 1, 
jbrowse-dev2, 136, 1, 
10.217.67.127:3232, 28, 1, 
bioinfo.nwafu.edu.cn, 785, 17, 
bioinfo.nwsuaf.edu.cn, 8, 3, 
10.16.18.236, 2, 1, 
150.254.123.119, 77, 10, 
172.16.10.33:8888, 13, 1, 
edge.oucru.org, 65, 4, 
10.96.116.78:8301, 7, 2, 
thoba.sanbi.ac.za, 13, 2, 
localhost.jax.org:8080, 1, 1, 
paramecium-beta.i2bc.paris-saclay.fr, 2943, 51, 
10.5.0.126, 11, 1, 
jbrowse.oropetium.org, 16, 15, 
34.201.39.192, 282, 15, 
webs.iiitd.edu.in, 164, 50, 
genomedb, 1, 1, 
210.27.94.249, 1, 1, 
aklppr31.pfr.co.nz.:9080, 3, 2, 
10.235.225.248:8080, 69, 1, 
epic.sci.gmi.oeaw.ac.at, 72, 3, 
192.168.2.13, 17, 1, 
microbial.biomax.de:8820, 6, 1, 
hubjbrowse.fafu.tk:8200, 8, 2, 
186.35.111.38, 4, 1, 
ceres.snu.ac.kr:9993, 11, 2, 
www.breedserve.cab.kps.ku.ac.th, 319, 49, 
192.168.70.27, 107, 1, 
172.32.73.2:8080, 33, 1, 
vm0082, 7, 1, 
genomics.dpuk.ukserp.ac.uk, 4, 1, 
uvatest.pieriandx.com, 34, 4, 
blade04, 30, 2, 
vm.bxgenomics.com, 12, 4, 
ojywwyp.solgenomics.net, 1, 1, 
browser-dept-repairbrowser.cloudapps.unc.edu, 85, 30, 
jb2-dept-repairbrowser.cloudapps.unc.edu, 5, 3, 
192.168.142.110, 10, 1, 
cjaponica.aws.kasahara.ws, 63, 1, 
159.226.89.27, 10, 4, 
192.168.99.1:10080, 19, 2, 
192.168.0.69:8080, 518, 1, 
bioinfo-mac-8.mpi-cbg.de, 9, 1, 
openstack-192-168-100-13.genouest.org, 2, 1, 
mallorn.pirbright.ac.uk, 67, 9, 
hank.bio.ed.ac.uk, 59, 11, 
35.193.70.169:5000, 2, 1, 
60.173.245.244:84, 9, 1, 
deepbiology.cn, 222, 54, 
localhost:9080, 6, 1, 
www.mosolygosession.hu, 3, 1, 
mysite.com, 2, 1, 
172.29.2.98, 1, 1, 
tbioinfopb1.pine-biotech.com:3000, 3, 2, 
210.46.85.200, 35, 21, 
172.32.75.17, 6, 1, 
wukong, 339, 1, 
ceres.snu.ac.kr:9995, 86, 7, 
192.168.0.118, 661, 3, 
192.168.123.72, 35, 1, 
ssf-aqg-wsk03, 15, 2, 
schtest.pieriandx.com, 37, 5, 
binkley.candidagenome.org, 154, 4, 
bnlvarcada.labcorp.com, 8, 2, 
lint78.pythonanywhere.com, 2, 1, 
crops.dow.com, 5, 2, 
agr-apollo.berkeleybop.io:8080, 1, 1, 
agr-apollo.berkeleybop.io, 34, 9, 
192.168.211.200, 3, 1, 
192.168.1.19, 83, 2, 
10.30.1.114, 4, 3, 
10.88.34.68:8443, 98, 6, 
spis.reefgenomics.org, 78, 45, 
mpc-jbrowse.phc.ruhr-uni-bochum.de, 5, 4, 
dev.novocraft.com, 1022, 20, 
152.7.99.237, 26, 8, 
gbrowse2017b.biology.gatech.edu, 33, 15, 
phantomjscloud.com, 3, 2, 
gpstest.pieriandx.com, 780, 21, 
gpi.westernsydney.edu.au, 3, 2, 
10.200.233.244, 21, 2, 
134.192.156.42, 14, 2, 
134.95.254.122, 91, 2, 
gwutest.pieriandx.com, 11, 1, 
www.antgenomes.org, 5, 4, 
brie.cshl.edu, 41, 6, 
whiteflygenomics.feilab.net, 5, 2, 
10.157.217.1, 9, 2, 
eclipse.biotec.or.th, 148, 7, 
multiscalegenomics.bsc.es, 6, 2, 
smatest.pieriandx.com, 8, 2, 
endmecfs.stanford.edu, 1, 1, 
igenomed.stanford.edu, 99, 21, 
192.168.56.160, 2, 2, 
sjlsd0012:8080, 4, 2, 
phytozome-staging.jgi.doe.gov, 33, 6, 
35.8.152.211, 2, 1, 
bsi.vardetect.com, 4, 1, 
nmtest.pieriandx.com, 5, 3, 
maizegenomics.plantbiology.msu.edu, 122, 31, 
clevelandclinictest.pieriandx.com, 186, 9, 
bioinfo.bas.roche.com:8080, 1, 1, 
163.9.71.34, 9, 4, 
mayotest.pieriandx.com, 192, 10, 
bmap.jgi.doe.gov, 51, 24, 
blade08, 16, 2, 
blade09, 18, 2, 
planarian.jp, 76, 13, 
opendata.ifr.ac.uk, 5, 3, 
ngspipelines-sigenae.toulouse.inra.fr:9064, 10, 4, 
sop1rna.inra.fr, 8, 7, 
134.192.156.203:8080, 157, 7, 
134.192.156.204:8080, 271, 4, 
10.10.20.88, 215, 2, 
efishgenomics.integrativebiology.msu.edu:8080, 1, 1, 
dev.facebase.org, 432, 26, 
www.vetiverdb.com, 32, 1, 
bbip.genouest.org, 57, 14, 
141.244.133.166, 1, 1, 
test-bioinfo, 150, 5, 
bldr-tst-analysis-11, 17, 1, 
jbrowse.app, 1, 1, 
localhost:8964, 2, 1, 
130.56.102.10, 182, 1, 
alphagenomixtest.pieriandx.com, 10, 2, 
karyns-imac.nrc.okstate.edu, 14, 1, 
10.122.65.228, 243, 2, 
fahc.pieriandx.com, 4164, 100, 
aventus.pieriandx.com, 3105, 13, 
gpsopsqa.pdx.aws, 12, 4, 
clevelandclinicopsqa.pdx.aws, 44, 2, 
ilmerill.erasmusmc.nl:9080, 32, 13, 
gfas.reefgenomics.org, 5, 5, 
ffun.reefgenomics.org, 6, 5, 
web1, 1, 1, 
192.168.1.28, 98, 1, 
www.fabienpichon.com, 1, 1, 
wakeforest.pieriandx.com, 1570, 3, 
myosotis, 1, 1, 
10.233.1.124, 4, 2, 
alphagenomix.pieriandx.com, 1791, 29, 
moffitt.pieriandx.com, 10542, 313, 
uva.pieriandx.com, 2150, 60, 
sch.pieriandx.com, 620, 7, 
gps.pieriandx.com, 6875, 62, 
ssr, 901, 2, 
galaxy.uni-freiburg.de, 16, 10, 
cedarssinai.pieriandx.com, 1190, 45, 
oboe.caltech.edu, 123, 10, 
bldr-tst-analysis-05, 17, 1, 
192.168.31.19:8081, 1, 1, 
172.20.20.228, 353, 4, 
172.20.20.229:8080, 1, 1, 
northshore.pieriandx.com, 1266, 72, 
demoopsqa.pdx.aws, 52, 13, 
db-dev.jpostdb.org, 1, 1, 
104.197.32.225:5000, 1, 1, 
schopsqa.pdx.aws, 14, 7, 
s3.amazonaws.com, 10, 5, 
10.226.65.242, 74, 20, 
172.22.220.29, 278, 2, 
ngspipelines-sigenae.toulouse.inra.fr:9052, 2, 1, 
brie.cshl.edu:8080, 158, 56, 
dev.www.flyrnai.org, 56, 11, 
floridahospital.pieriandx.com, 472, 14, 
111.198.139.96:17436, 28, 5, 
10.189.194.79:8000, 2, 2, 
schdevqa.pdx.aws, 21, 5, 
localhost:2224, 62, 7, 
chlamydomonas.iab.keio.ac.jp, 2, 2, 
cugr.dev, 108, 7, 
59.79.232.182, 1, 1, 
cgrd.hzau.edu.cn, 4, 1, 
northshoreopsqa.pdx.aws, 10, 4, 
192.168.74.128, 9, 1, 
www.area4.mi.cnr.it, 4, 4, 
moffittopsqa.pdx.aws, 17, 4, 
t.solgenomics.net, 3, 3, 
10.42.0.5:8081, 7, 2, 
urgi146.versailles.inra.fr, 6, 1, 
10.30.10.125, 335, 8, 
hli.pieriandx.com, 372, 9, 
172.20.20.231:8080, 1, 1, 
172.20.20.231, 1, 1, 
melonomics.cragenomica.es, 55, 4, 
beta.burkholderia.com, 9, 6, 
10.111.172.123, 2, 2, 
192.168.20.63, 1, 1, 
172.19.35.54, 119, 2, 
www98.lamp.le.ac.uk, 10, 1, 
dev.togogenome.org, 180, 11, 
archer-test.ccf.org, 66, 1, 
jbrowse.xenbase.org, 19418, 2077, 
jbrowser.vardetect.com, 1, 1, 
172.16.119.128, 1, 1, 
bioinfo.sibs.ac.cn, 14, 5, 
www185.lamp.le.ac.uk, 222, 22, 
fahcopsqa.pdx.aws, 1, 1, 
nm.pieriandx.com, 545, 5, 
galaxy.hpcagrogenomics.wur.nl, 5, 3, 
mcg.pieriandx.com, 119, 8, 
seadb.org, 51, 18, 
129.128.83.63, 3, 2, 
142.135.90.155, 10, 1, 
uab.pieriandx.com, 3554, 4, 
192.168.11.128, 2, 1, 
rcg-pseudom-app.is.sfu.ca, 12, 1, 
testnm.ybzhao.com, 1, 1, 
222.195.92.17, 3, 3, 
jbrowse.plant-biotech.biologie.privat, 585, 5, 
192.168.99.1:8081, 25, 1, 
10.153.132.25:8081, 61, 1, 
mitibebm01.srv.med.uni-muenchen.de:8001, 22, 1, 
plantpolya.org, 181, 17, 
hliopsqa.pdx.aws, 13, 1, 
128.214.53.152:3838, 177, 6, 
10.64.110.72, 19, 1, 
172.31.20.75, 1, 1, 
lyre.cin.ucsf.edu:8080, 35, 3, 
scps-web1, 4, 1, 
vbioimage-jbrowse.ibmp.unistra.fr, 3, 1, 
blade06, 26, 2, 
inovadev.pdx.aws, 20, 5, 
secure.genomenext.net, 14, 3, 
192.100.2.240, 2, 1, 
gwuopsqa.pdx.aws, 6, 1, 
qa.genomenext.net, 155, 23, 
informatics, 3, 3, 
people.binf.ku.dk, 3, 2, 
magicmaize.hzau.edu.cn, 19, 7, 
trillian, 2, 1, 
172.29.2.74, 113, 2, 
140.110.17.247, 496, 77, 
vc7hpc-076.hpc.wehi.edu.au:9443, 6, 1, 
vc7hpc-076.hpc.wehi.edu.au, 2, 1, 
192.168.1.106:8880, 1, 1, 
142.58.116.5:27888, 1, 1, 
192.168.56.102, 270, 3, 
139.129.29.118, 34, 16, 
bf2i300.insa-lyon.fr, 19, 5, 
www.solgenomics.com, 26, 6, 
galaxy.genouest.org, 275, 32, 
archerv1, 30, 1, 
ngspipelines-sigenae.toulouse.inra.fr:9068, 1, 1, 
analysisdev.tch.harvard.edu, 19, 2, 
www.genomics.verinomics.com, 1256, 13, 
arizona.pieriandx.com, 44, 3, 
gigel:8080, 20, 3, 
whiteflygenomicsb.feilab.net, 43, 2, 
inno.npz.local, 695, 13, 
www.whiteflygenomics.org, 4024, 297, 
192.168.56.18:8080, 934, 34, 
129.194.59.160, 3, 1, 
10.22.57.178, 138, 1, 
northshoretest.pieriandx.com, 74, 9, 
lisina.cbmeg.unicamp.br, 41, 6, 
galaxy.dna.affrc.go.jp, 247, 34, 
catm.nibb.ac.jp, 6, 1, 
cowpea.it.csiro.au:8080, 96, 12, 
60.205.203.178:8082, 360, 15, 
galaxy-qld.genome.edu.au, 51, 19, 
ngspipelines-sigenae.toulouse.inra.fr:9061, 1, 1, 
ukapdlnx115.ukapd.astrazeneca.net, 1, 1, 
210.46.85.180:8080, 7, 4, 
jbrowse.am.lilly.com, 56, 2, 
202.115.44.239:8080, 1, 1, 
128.192.203.33, 4, 3, 
rcshige3.nig.ac.jp, 76, 4, 
nextmolecular.pieriandx.com, 535, 8, 
www.yanlab.org, 3, 3, 
vert.biolab.si, 6, 3, 
172.20.20.244, 178, 4, 
horizon.mat.unimi.it:8000, 12, 1, 
192.168.200.102, 13, 3, 
oxy-gentest.pieriandx.com, 3, 1, 
node2:8000, 3, 1, 
webapollo-pre.vectorbase.org, 11, 2, 
mockaitis.ncgas.indiana.edu, 4, 1, 
target.sbg.qb.fcen.uba.ar:8083, 74, 5, 
172.28.10.232, 4, 1, 
101.132.136.69, 20, 13, 
203.101.224.189, 1, 1, 
dev.jbrowse.cirad.fr, 9, 4, 
virt0099.cnptia.embrapa.br:8080, 10, 1, 
local-platomics, 1, 1, 
jbrowse.cirad.fr, 261, 40, 
54.198.128.220, 1, 1, 
54.198.128.220:8080, 1, 1, 
localhost:8001, 1, 1, 
10.124.128.172, 5, 1, 
blade03, 22, 1, 
mcgopsqa.pdx.aws, 2, 2, 
149.165.169.159, 5, 1, 
oxy-genopsqa.pdx.aws, 7, 2, 
61.245.243.140, 21, 5, 
jbrowse.abc6.net:51124, 55, 5, 
192.168.20.14:8081, 4, 2, 
avesha, 97, 2, 
172.20.142.20, 75, 2, 
uweb, 10, 1, 
212.47.229.192, 1, 1, 
59.79.232.56, 6, 1, 
10.88.5.66, 1, 1, 
54.197.201.167:8080, 2, 1, 
codeqat.carisls.com, 1, 1, 
54.197.201.167, 4, 1, 
fahcdevqa.pdx.aws, 2, 1, 
archer.biopticka.local, 644, 1, 
52.91.18.26, 1, 1, 
54.224.83.239, 77, 1, 
54.224.83.239:8080, 2, 1, 
104.196.134.59, 61, 11, 
192.168.1.10:8080, 13, 1, 
149.165.157.108, 254, 25, 
geneart.med.unideb.hu, 516, 23, 
10.10.85.105, 38, 6, 
10.49.95.73, 447, 10, 
192.168.187.129, 4, 1, 
blade07, 16, 2, 
genejbrowse.linkdoc.com, 71, 7, 
10.200.215.116, 7, 2, 
128.46.93.251, 18, 3, 
137.187.60.153, 1, 1, 
devapollo.babs.unsw.edu.au, 78, 14, 
172.22.220.21:6634, 1, 1, 
172.22.220.21:6080, 6, 1, 
data.immunocore.com, 1, 1, 
172.18.0.183, 1, 1, 
172.16.106.110, 40, 1, 
dev-y.smestorage.com, 357, 2, 
10.1.108.157, 10, 5, 
dev-a.smestorage.com, 329, 2, 
147.100.104.70, 67, 5, 
192.168.0.155, 14, 1, 
143.48.90.164:8080, 3, 1, 
172.16.232.1, 1, 1, 
dev.coolseasonfoodlegume.org, 31, 2, 
genome.zju.edu.cn, 49, 12, 
radish.kazusa.or.jp, 417, 65, 
edwapollo.babs.unsw.edu.au, 282, 21, 
alphagenomixopsqa.pdx.aws, 3, 1, 
www.coolseasonfoodlegume.org, 494, 99, 
157.92.24.156, 3, 2, 
conil.eb.local, 3, 1, 
192.168.200.107, 2, 1, 
plantpathology.ba.ars.usda.gov, 3, 1, 
test.coolseasonfoodlegume.org, 3, 2, 
152.7.99.231, 26, 3, 
114.212.161.8:8080, 32, 3, 
192.168.218.201, 20, 4, 
203.101.229.35:8080, 60, 7, 
cuhk.pieriandx.com, 32, 4, 
172.16.54.4, 1, 1, 
smaopsqa.pdx.aws, 4, 1, 
133.26.84.42, 51, 1, 
combattb.sanbi.ac.za, 1205, 50, 
www.jbrowse.org, 1, 1, 
plasmodium.biomax.de:8820, 36, 1, 
p53.hydra.mki.co.jp, 6, 1, 
www.xingene.net, 4, 4, 
34.233.73.242, 1, 1, 
bioinfobk.feilab.net, 12, 6, 
192.168.8.100, 12, 5, 
152.7.99.209, 38, 4, 
jbrownies.programmingforbiology.org, 56, 3, 
35.184.178.44:5000, 2, 1, 
130.220.208.2, 801, 14, 
bioinfor.scu.edu.cn, 119, 33, 
10.46.169.69:8080, 1, 1, 
172.16.88.130, 5, 1, 
10.88.34.206:8443, 51, 5, 
ngspipelines2.toulouse.inra.fr:9017, 2, 2, 
localhost:9999, 6, 2, 
54.85.128.72, 1, 1, 
52.206.235.163, 64, 1, 
bioinfo.cgiarad.org, 117, 8, 
127.0.0.1:8888, 176, 4, 
hackensack.pieriandx.com, 55, 5, 
orangie.wi.mit.edu, 1, 1, 
172.22.55.10, 1, 1, 
192.168.70.116:8080, 84, 1, 
apollo.bi.up.ac.za:8080, 454, 12, 
141.244.134.225:11000, 2, 2, 
aetionomy.uni.lu, 95, 3, 
159.149.2.201:8080, 4, 1, 
ngspipelines-sigenae.toulouse.inra.fr:9066, 9, 6, 
webserver.molgenrug.nl, 14, 5, 
im.net, 59, 1, 
192.168.5.203:8080, 2, 2, 
localhost:8443, 8, 1, 
192.168.200.104, 3, 1, 
cr10-cosmic.sandbox.sanger.ac.uk, 1, 1, 
cancertest.dev.sanger.ac.uk, 77, 8, 
192.168.200.109, 10, 3, 
localhost:11001, 502, 3, 
dev.multiscalegenomics.eu, 232, 21, 
200.144.244.219:8085, 11, 1, 
bronco.swmed.edu, 3, 2, 
192.168.13.52, 2, 2, 
xodjudj.solgenomics.net, 1, 1, 
115.146.85.22:8080, 574, 126, 
192.168.1.203:8080, 2, 2, 
203.101.225.212:8080, 134, 35, 
192.168.70.104, 38, 1, 
dev-y-preview2.smestorage.com, 83, 3, 
sb-thes-jbrowse.s3-website-us-east-1.amazonaws.com, 44, 3, 
104.224.151.124, 17, 3, 
almacgroup.analysis.archerdx.com, 35, 4, 
192.168.1.2, 36, 2, 
apollo-stage.nal.usda.gov:8080, 1, 1, 
128.223.23.216:8000, 2, 1, 
150.229.0.45:8080, 80, 8, 
tokyogw.bits.cc, 102, 12, 
aghiera.it.csiro.au:8080, 100, 10, 
caus.reefgenomics.org, 4, 4, 
134.34.113.85, 39, 7, 
152.7.99.241, 17, 5, 
floridahospitaltest.pieriandx.com, 1, 1, 
aklppr31.pfr.co.nz:8080, 48, 1, 
www.kidsgenome.cn, 1, 1, 
192.168.224.24:8888, 37, 4, 
localhost:7777, 7, 1, 
bioxm-devel.beyondbio.com:8820, 43, 1, 
genomics.filefabriclabs.com, 27, 2, 
192.168.122.158, 2, 1, 
lrrr.dbi.udel.edu, 30, 13, 
t1dbase.org, 330, 88, 
www.t1dbase.org, 4591, 609, 
wukong.wiserice.com.cn, 14, 1, 
35.190.145.218, 155, 17, 
172.29.2.74:8080, 4, 1, 
34.212.228.71:8080, 19, 1, 
118.26.69.216:8000, 12, 1, 
d15hswjloo3c4x.cloudfront.net, 4556, 4, 
192.168.20.19:8002, 3, 2, 
192.168.224.24:8889, 32, 4, 
gps.devqa.pdx.aws, 90, 10, 
10.75.28.170:8080, 277, 34, 
tnr2911.tnrad.local, 67, 2, 
sysbio.gzzoc.com, 1160, 154, 
192.168.1.67:9090, 17, 1, 
192.168.1.11:8085, 370, 1, 
192.168.0.70, 7, 1, 
littledog.research.siu.edu, 6, 1, 
jbrowse-dev.alliancegenome.org, 138, 20, 
enterobase.warwick.ac.uk, 1, 1, 
122.205.95.172, 8, 2, 
jbrowsedev.com, 2, 1, 
smdweb.yokohama-cu.ac.jp, 2, 1, 
jbrowse.genedock.com:8080, 7, 2, 
tigriopus.synology.me:8085, 164, 8, 
172.16.106.79, 24, 1, 
cnkbap2.snu.ac.kr:7779, 1, 1, 
bfx.twistbioscience.com, 5, 1, 
www252.lamp.le.ac.uk, 191, 19, 
172.20.4.240:8080, 1, 1, 
172.16.103.124, 4, 1, 
nina, 40, 1, 
staging.genomenext.com, 140, 7, 
picea.plantphys.umu.se:9002, 44, 7, 
dev.vaccinium.org, 9, 2, 
www.vaccinium.org, 627, 98, 
142.3.188.121, 28, 4, 
stage29.amyris.local, 2, 1, 
192.168.1.1, 14, 2, 
uva.devqa.pdx.aws, 8, 3, 
192.168.16.95:5050, 653, 3, 
sma.pieriandx.com, 1147, 9, 
149.165.156.194:8085, 37, 7, 
ec2-34-238-85-140.compute-1.amazonaws.com, 18, 4, 
172.18.30.130, 23, 2, 
172.16.1.36, 484, 2, 
10.10.87.36:8080, 45, 2, 
106.14.224.145:8080, 108, 22, 
sch.devqa.pdx.aws, 6, 4, 
10.10.87.36:5000, 3, 1, 
garfield.igh.cnrs.fr, 56, 1, 
10.10.87.36, 90, 4, 
bioinformatics.tecnoparco.org, 20, 17, 
pieriandxprod.devqa.pdx.aws, 70, 13, 
cgr-referencegenome.boku.ac.at, 652, 79, 
127.0.0.1:8200, 1, 1, 
161.200.107.76, 2, 2, 
dartmouth.pieriandx.com, 1601, 90, 
ec2-52-90-7-50.compute-1.amazonaws.com, 13, 1, 
jbrowsedev.com:1337, 457, 9, 
47.93.61.163:8080, 5, 3, 
172.16.202.2, 1, 1, 
172.25.13.234, 8, 1, 
172.25.13.234:8000, 39, 2, 
172.25.13.234:8888, 2, 1, 
moffitt.devqa.pdx.aws, 22, 7, 
172.16.64.129, 1, 1, 
10.10.70.77, 10, 1, 
ec2-54-89-238-1.compute-1.amazonaws.com, 25, 2, 
datacenter.oceanridgebio.com, 215, 1, 
35.193.167.33:5000, 1, 1, 
10.1.10.180, 37, 1, 
jbrestel.plasmodb.org, 505, 26, 
35.202.193.120:5000, 1, 1, 
www.xwensoft.com, 1, 1, 
analysis.qa.enz.local, 15, 2, 
www.rosaceae.org, 7160, 900, 
35.192.85.78:5000, 3, 2, 
54.201.219.255:8080, 69, 2, 
152.7.99.251, 26, 6, 
mangobase.org, 304, 46, 
133.28.110.100:8080, 28, 1, 
tnr2911.tnrad.local:8000, 431, 20, 
melonomics.net, 5, 2, 
10.144.64.217, 1, 1, 
dartmouthtest.pieriandx.com, 14, 2, 
ec2-54-209-125-3.compute-1.amazonaws.com, 45, 3, 
bindu.plasmodb.org, 853, 48, 
192.168.1.182, 7, 1, 
10.250.124.248, 4, 1, 
192.168.163.214:8080, 42, 4, 
cedarssinai.devqa.pdx.aws, 30, 6, 
203.101.228.69:8000, 3, 2, 
10.192.36.17, 5, 1, 
192.168.10.65, 19, 1, 
10.11.16.11, 155, 3, 
balaur:8347, 2, 1, 
balaur.cshl.edu, 23, 10, 
171.65.188.9, 1, 1, 
igenomed4.stanford.edu:3838, 4, 1, 
brachypan-dev.jgi.doe.gov, 112, 16, 
10.192.36.17:8080, 312, 1, 
192.168.224.24:9999, 112, 6, 
115.146.92.74:8080, 29, 11, 
www.melonomics.net, 2248, 273, 
192.168.59.128, 1, 1, 
test-bioinfo.obs-vlfr.fr, 392, 15, 
122.205.95.172:8080, 244, 36, 
apollo.vital-it.ch, 1017, 91, 
134.245.171.51, 1, 1, 
96.64.189.242, 1, 1, 
129.114.104.190, 3, 1, 
152.7.99.226, 15, 3, 
localhost:2002, 1, 1, 
152.7.99.233, 3, 3, 
acdstagging.org, 1, 1, 
115.146.92.59:8080, 41, 10, 
www.planarian.jp, 45, 16, 
mamaps.unavarra.es, 1, 1, 
cerrtranscript.umcs.pl, 2, 1, 
rnamaps.unavarra.es, 15, 3, 
dna-marker.biocenter.helsinki.fi:8084, 8, 3, 
117.25.155.112:8188, 30, 8, 
140.109.32.56, 200, 66, 
urgi148:8080, 128, 8, 
193.219.91.103:12497, 174, 10, 
ffgc, 1, 1, 
ffgc.wi.mit.edu, 66, 3, 
wwwdev.ebi.ac.uk, 1, 1, 
sgenome, 1, 1, 
simrbase.stowers.org, 1754, 171, 
152.7.99.165, 44, 4, 
varitome.sgn.cornell.edu, 259, 36, 
genomesdev.stowers.org:8080, 1, 1, 
35.166.148.109, 5, 2, 
compbio-l, 84, 2, 
norstar.usask.ca:8080, 19, 2, 
simrbase.stowers.org:8080, 187, 8, 
192.168.1.112, 8, 2, 
halcott.cshl.edu:8080, 8, 5, 
spruce.plantphys.umu.se:8102, 10, 6, 
wujing, 16, 1, 
192.168.0.100, 21, 1, 
192.168.2.132, 1, 1, 
wujing.wiserice.com.cn, 7, 1, 
165.246.44.43, 3, 1, 
data.maizecode.org, 1235, 193, 
by0qwv.na.agrogroup.net, 54, 3, 
140.113.111.81, 4, 1, 
ffgcjbrowse.wi.mit.edu, 1, 1, 
54.174.142.45, 7, 1, 
10.200.50.178, 225, 32, 
vollbrechtlab.gdcb.iastate.edu, 562, 44, 
brachypan.jgi.doe.gov, 1438, 111, 
203.101.226.177:8080, 65, 19, 
www.licpathway.net, 16, 1, 
140.109.55.18, 3, 1, 
10.8.11.114, 2, 1, 
115.146.92.60:8080, 54, 13, 
115.146.92.68:8080, 54, 22, 
54.175.12.55, 380, 1, 
10.0.31.186, 6, 1, 
10.209.76.18, 18, 1, 
140.110.17.251, 2, 1, 
149.155.193.77, 61, 5, 
pophuman.uab.es, 100, 24, 
nathan.lungmap.net, 69, 3, 
ec2-54-161-218-171.compute-1.amazonaws.com, 12, 2, 
halcott.cshl.edu, 4, 1, 
129.114.104.123, 2, 1, 
203.101.226.195:8080, 33, 14, 
203.101.226.190:8080, 29, 12, 
203.101.226.161:8080, 35, 6, 
203.101.226.198:8080, 33, 8, 
115.146.92.64:8080, 44, 12, 
10.3.89.8, 2, 2, 
166.111.156.12, 6, 1, 
coppolalab.ucla.edu, 182, 18, 
192.168.100.65, 1, 1, 
10.131.101.159:8080, 139, 34, 
beetlebase.org, 133, 97, 
10.10.181.247, 113, 1, 
www.ftp.solgenomics.net, 1, 1, 
158.109.126.68:7000, 11, 1, 
158.109.126.68, 4, 2, 
172.16.2.230, 6, 1, 
129.114.104.202, 24, 1, 
rtlvarca01.labcorp.com, 864, 10, 
w05-04.dna.affrc.go.jp, 2, 1, 
jbrowse.net, 10, 2, 
172.20.20.226, 3, 1, 
140.110.18.50, 7, 4, 
59.79.248.103, 1, 1, 
211.69.140.136, 191, 17, 
218.6.173.107, 90, 8, 
localhost:50070, 156, 9, 
hli.devqa.pdx.aws, 3, 3, 
bugs.sgul.ac.uk, 2, 2, 
157.92.24.142:8080, 14, 4, 
pieriandxprod.pieriandx.com, 513, 15, 
ngspipelines2.toulouse.inra.fr:9014, 16, 6, 
192.168.200.101, 13, 3, 
54.162.111.32, 1, 1, 
fahc.devqa.pdx.aws, 10, 1, 
dartmouth.devqa.pdx.aws, 1, 1, 
expanded.homd.org, 63, 4, 
hackensack.devqa.pdx.aws, 2, 1, 
cuhk.devqa.pdx.aws, 1, 1, 
bartontools.dpb.carnegiescience.edu, 15, 4, 
weatherby.genetics.utah.edu:8080, 1, 1, 
spider.0t0.jp, 92, 11, 
bioinf.nniiem.ru, 2, 1, 
w05-04.dna.affrc.go.jp:8080, 69, 3, 
nvrigenome.nchc.org.tw, 26, 11, 
mycobrowser.epfl.ch, 192406, 16478, 
dev-y-preview.smestorage.com, 16, 2, 
193.0.109.44, 1, 1, 
sndg.qb.fcen.uba.ar, 189, 28, 
10.75.119.201, 506, 25, 
apiaceae.njau.edu.cn, 125, 40, 
192.168.0.138, 84, 4, 
students.mimuw.edu.pl, 38, 3, 
211.192.85.237, 138, 1, 
gigaton.sigenae.org., 12, 6, 
35.188.168.112:5000, 1, 1, 
bio.info, 6, 3, 
www.brh2.jp, 662, 33, 
moffittdev.pdx.aws, 2, 1, 
192.168.1.118, 1, 1, 
10.75.206.133, 114, 6, 
172.16.255.28, 95, 2, 
10.75.119.195, 5, 1, 
10.200.37.235, 2, 1, 
10.114.19.161, 49, 1, 
54.40.223.139:8080, 198, 10, 
by0pkv.emea.agrogroup.net:8080, 3, 1, 
