host,host count, client count, distinct client count
alphagenomixopsqa.pdx.aws, 85, 85, 4, 
10.88.33.44:8443, 572, 572, 2, 
ccg.xingene.net, 8, 8, 2, 
bf2i300.insa-lyon.fr, 7, 7, 3, 
10.0.0.193:8080, 144, 144, 2, 
147.99.84.190, 1, 1, 1, 
emboss.abc.hu, 215, 215, 5, 
genoweb.toulouse.inra.fr, 219, 219, 12, 
jbrowse.deenabio.com, 172, 172, 26, 
ray:8080, 6, 6, 1, 
informatics.medimmune.com, 67, 67, 6, 
10.37.0.243, 293, 293, 4, 
img-proportal.dev, 3, 3, 1, 
10.10.107.165, 2, 2, 1, 
10.18.101.89, 54, 54, 1, 
cmb.bnu.edu.cn:8084, 123, 123, 5, 
172.28.1.200:1338, 230, 230, 1, 
127.0.0.01, 26, 26, 1, 
192.168.72.28, 6, 6, 2, 
bugbears.ncbs.res.in, 137, 137, 25, 
202.112.87.15:8084, 7, 7, 7, 
myjbrowse.com, 2, 2, 1, 
cluster-dev.florimond-desprez.fr, 121, 121, 2, 
moffittdev2.pieriandx.com, 2, 2, 1, 
hanusch-staging.platomics.com:10005, 343, 343, 3, 
52.37.185.103:8443, 7, 7, 2, 
192.168.50.200, 1, 1, 1, 
ec2-54-86-48-181.compute-1.amazonaws.com, 2, 2, 1, 
db.cngb.org, 28, 28, 7, 
172.28.1.173:1338, 27, 27, 1, 
192.168.56.128, 1, 1, 1, 
141.20.62.214, 208, 208, 3, 
192.168.1.103, 4, 4, 1, 
10.11.16.29, 297, 297, 1, 
watson.plantphys.umu.se:8250, 11, 11, 3, 
10.34.229.84, 56, 56, 3, 
172.28.1.201:1338, 3, 3, 1, 
172.28.1.200, 14, 14, 1, 
0.0.0.0:1337, 214, 214, 3, 
cgp-jbrowse-dev.internal.sanger.ac.uk, 7, 7, 2, 
zoidberg.bi.up.ac.za:8080, 564, 564, 49, 
192.168.1.20, 2, 2, 1, 
m.chinahr.com, 1, 1, 1, 
150.254.122.197, 231, 231, 49, 
rhesus.amu.edu.pl, 42, 42, 3, 
ivis-dev:8000, 364, 364, 5, 
augnuga.pw.usda.gov, 17, 17, 7, 
localhost:5000, 3, 3, 2, 
172.28.1.169:1338, 264, 264, 1, 
fungalgenomics.science.uu.nl, 1, 1, 1, 
192.64.83.141, 156, 156, 17, 
ec2-54-147-220-30.compute-1.amazonaws.com, 4, 4, 1, 
140.226.49.224, 3, 3, 1, 
192.168.99.100:8080, 386, 386, 12, 
192.168.1.9, 213, 213, 2, 
52.48.198.130:8099, 2, 2, 2, 
5.153.58.254, 3, 3, 1, 
jbrowse.wrightsman.io, 36, 36, 10, 
caus.reefgenomics.org, 32, 32, 21, 
dev.www.flyrnai.org, 118, 118, 6, 
199.133.225.19, 155, 155, 67, 
137.215.75.30, 96, 96, 14, 
ec2-54-204-103-63.compute-1.amazonaws.com, 1, 1, 1, 
192.168.99.100:9000, 3, 3, 1, 
10.177.80.52, 2, 2, 1, 
192.168.1.4, 1, 1, 1, 
52.48.198.130:8000, 2, 2, 2, 
52.48.198.130:8004, 1, 1, 1, 
gpsdevqa.pdx.aws, 245, 245, 9, 
santeetmoi.com, 7, 7, 1, 
157.99.105.147, 23, 23, 3, 
assembly.ab.wurnet.nl:3000, 3, 3, 1, 
ec2-54-174-104-92.compute-1.amazonaws.com, 1, 1, 1, 
owen.rgd.mcw.edu, 62, 62, 4, 
192.168.11.34, 10, 10, 1, 
172.28.1.169:1339, 584, 584, 2, 
www.phyzen.com, 177, 177, 7, 
phyzen.co.kr, 1, 1, 1, 
192.168.11.40, 15, 15, 1, 
52.48.198.130:8003, 1, 1, 1, 
10.88.36.67:8443, 3, 3, 1, 
10.13.200.25, 83, 83, 1, 
gpsdev.pdx.aws, 293, 293, 9, 
v0675:8080, 20, 20, 2, 
rd-jbrowse.app.pmi, 405, 405, 2, 
52.48.198.130:8022, 1, 1, 1, 
ec2-54-167-182-30.compute-1.amazonaws.com, 36, 36, 3, 
52.48.198.130:8015, 2, 2, 1, 
mullet419server.tamu.edu, 2, 2, 2, 
civet.nhgri.nih.gov, 306, 306, 5, 
192.168.0.12, 1, 1, 1, 
192.168.0.48, 1, 1, 1, 
192.168.0.5:8085, 4, 4, 1, 
databases.scilifelab.se, 4, 4, 1, 
www.xingene.net, 16, 16, 12, 
cornut.org, 180, 180, 8, 
cosmic.dev.sanger.ac.uk, 185, 185, 27, 
52.48.198.130:8005, 2, 2, 1, 
52.48.198.130:8027, 1, 1, 1, 
52.48.198.130:8034, 3, 3, 1, 
52.48.198.130:8007, 1, 1, 1, 
img-proportal-dev.jgi.doe.gov, 19, 19, 7, 
52.48.198.130:8030, 2, 2, 2, 
iyiwycodci.localtunnel.me, 3, 3, 1, 
10.20.2.26, 69, 69, 10, 
172.20.201.40:8080, 9, 9, 1, 
sappdev.wurnet.nl, 83, 83, 2, 
grch37-cancer.dev.sanger.ac.uk, 54, 54, 14, 
52.48.198.130:8012, 2, 2, 1, 
localhost:15180, 24, 24, 3, 
proteinmodelling-server.swan.ac.uk, 1421, 1421, 31, 
arupdevp.pdx.aws, 6, 6, 1, 
genomes.bioinf.nioo.knaw.nl, 215, 215, 16, 
gpsdevp.pdx.aws, 36, 36, 4, 
10.16.18.236, 78, 78, 1, 
www.ricebase.org, 16, 16, 13, 
192.168.1.98, 42, 42, 1, 
biowebdev02.nhgri.nih.gov, 5, 5, 4, 
129.93.135.63, 14, 14, 2, 
momo.lanl.gov, 171, 171, 2, 
genomeevolution.org, 4, 4, 2, 
192.168.0.16, 3, 3, 2, 
kyle.rgd.mcw.edu, 408, 408, 5, 
galaxydev.sb-roscoff.fr, 12, 12, 2, 
jeffreys-macbook-pro.local, 1, 1, 1, 
28.11.141.75, 3, 3, 1, 
mgenome.nig.ac.jp, 49, 49, 4, 
gbrowse2016.biology.gatech.edu, 59, 59, 17, 
ngsnd001.jpn-pharm.ad.local:8080, 188, 188, 1, 
10.20.2.26., 2, 2, 2, 
ngspipelines.toulouse.inra.fr:9015, 6, 6, 2, 
192.168.147.157, 25, 25, 1, 
dev.plabipd.de, 9, 9, 3, 
xbo.genome.arizona.edu, 10, 10, 1, 
iita-mirror.cassavabase.org, 25, 25, 6, 
192.168.147.158, 2, 2, 1, 
george.missouri.edu, 14, 14, 2, 
graveleylab.cam.uchc.edu, 114, 114, 5, 
25.104.102.230, 2, 2, 1, 
jbrowse.staging.cortect.com, 6, 6, 1, 
192.168.0.4, 12, 12, 3, 
compbio.korea.ac.kr:8080, 32, 32, 2, 
pm.sysu.edu.cn, 1101, 1101, 52, 
iris.cgm.cnrs-gif.fr, 15, 15, 1, 
crispr.renlab.org, 9, 9, 2, 
192.168.224.156, 1, 1, 1, 
iris.i2bc.paris-saclay.fr, 5, 5, 1, 
iris.angers.inra.fr, 121, 121, 27, 
13.81.9.110:8383, 3, 3, 1, 
192.168.56.193, 1, 1, 1, 
myerslab.bu.edu, 24, 24, 10, 
jbrowse-devel.igs.umaryland.edu, 14, 14, 2, 
52.90.144.221, 14, 14, 1, 
analysis.unlimited.enz.local, 415, 415, 10, 
mullion-13:8000, 1, 1, 1, 
54.186.124.12, 2, 2, 1, 
10.10.213.57:5000, 26, 26, 1, 
evolution.nchu.edu.tw:5438, 67, 67, 28, 
ligia.bioinf.be, 46, 46, 14, 
localhost:3232, 54, 54, 1, 
192.168.11.25, 1, 1, 1, 
solgenomics.wur.nl., 3, 3, 1, 
localhost:83, 289, 289, 2, 
52.91.141.73, 4, 4, 1, 
64.79.105.19, 4, 4, 4, 
dgprodtest.westeurope.cloudapp.azure.com:8383, 16, 16, 1, 
192.168.59.103, 87, 87, 1, 
localhost:8001, 4944, 4944, 30, 
horan.rgd.mcw.edu, 15, 15, 1, 
magwenelab.colab.duke.edu, 3, 3, 2, 
192.168.1.123, 4, 4, 1, 
132.236.156.138, 51, 51, 3, 
192.168.233.162:8080, 7, 7, 1, 
dynamiterice.org, 40, 40, 21, 
128.196.64.82, 3, 3, 1, 
ec2-54-237-236-178.compute-1.amazonaws.com, 6, 6, 1, 
aegilops.wheat.ucdavis.edu, 276, 276, 29, 
172.16.53.252, 4, 4, 2, 
bronco.swmed.edu, 152, 152, 4, 
fs000:28080, 29, 29, 1, 
fs000.ad62.riken.jp:28080, 14, 14, 1, 
localhost:12345, 13, 13, 2, 
192.168.2.93, 72, 72, 4, 
192.168.59.103:7894, 21, 21, 1, 
172.24.5.29:7894, 61, 61, 1, 
fs000:28081, 5, 5, 1, 
fs000.ad62.riken.jp:9000, 21, 21, 1, 
ellens-macbook:8001, 96, 96, 1, 
lbgi.fr, 12, 12, 3, 
138.23.56.103, 1, 1, 1, 
192.168.233.164:8080, 7, 7, 1, 
172.24.4.35, 467, 467, 1, 
192.168.0.21, 153, 153, 2, 
genannot.brc.hu, 9, 9, 7, 
192.168.20.69, 33, 33, 1, 
piton.eb.local:8000, 107, 107, 1, 
128.196.64.59, 2, 2, 1, 
192.168.50.206, 40, 40, 2, 
tesla.pcbi.upenn.edu, 1085, 1085, 80, 
54.209.15.194:8080, 5, 5, 1, 
10.33.1.179, 96, 96, 1, 
ngsnd001.jpn-pharm.ad.local:8081, 8, 8, 1, 
lipmcinfosc:1977, 11, 11, 1, 
128.196.64.238, 1, 1, 1, 
54.237.236.222, 1, 1, 1, 
bouzouki.bio.cs.cmu.edu, 43, 43, 15, 
cmb.bnu.edu.cn, 16, 16, 2, 
143.169.52.58, 26, 26, 3, 
biowebprod01.nhgri.nih.gov, 12, 12, 5, 
biskup.biowiki.org, 49, 49, 15, 
128.196.64.46, 1, 1, 1, 
piton.eb.local, 83, 83, 1, 
163.26.2.35, 361, 361, 64, 
10.34.229.134, 28, 28, 2, 
50.193.138.51, 6, 6, 4, 
taro-no-mac-mini.local:8080, 10, 10, 1, 
symmacmini.local:8080, 692, 692, 6, 
172.24.5.47, 8, 8, 1, 
www.dictybase.org, 9, 9, 6, 
localjbrowse.fr, 22, 22, 1, 
129.128.83.63, 5, 5, 3, 
192.168.50.180, 7, 7, 2, 
archer410-4.chop.edu, 25, 25, 1, 
bhgbrpub02.jax.org, 103, 103, 4, 
gif-server.biotech.iastate.edu, 180, 180, 16, 
localhost:9090, 102, 102, 4, 
www.hardwoodgenomics.org:8080, 38, 38, 4, 
agbioinfo.utk.edu:8080, 33, 33, 1, 
142.150.214.76, 34, 34, 3, 
tools.1001genomes.org, 19, 19, 6, 
52.87.186.190, 23, 23, 3, 
192.168.1.201, 184, 184, 30, 
p3-jboss-prod-1, 1, 1, 1, 
thaney-curation.igs.umaryland.edu, 20, 20, 4, 
uabopsqa.pdx.aws, 13, 13, 1, 
52.87.186.190:8080, 21, 21, 2, 
192.168.1.103:8080, 113, 113, 1, 
10.10.212.154:5000, 9, 9, 3, 
ngspipelines.toulouse.inra.fr:9009, 3, 3, 1, 
115.29.234.170, 11, 11, 10, 
dev1.ab.wurnet.nl:8006, 40, 40, 2, 
130.92.252.48:8085, 3, 3, 1, 
localhost:1234, 307, 307, 22, 
chominis-curation.igs.umaryland.edu, 108, 108, 5, 
assembly.ab.wurnet.nl:8007, 54, 54, 1, 
200.89.72.124, 2, 2, 1, 
25.20.236.19, 82, 82, 7, 
192.168.0.23, 6, 6, 1, 
ec2-54-87-125-179.compute-1.amazonaws.com, 3, 3, 3, 
deenabio.ddns.net:8888, 45, 45, 3, 
v01plx02.technet.akhwien.at, 4, 4, 1, 
hancock.rgd.mcw.edu, 24, 24, 3, 
stab.st-andrews.ac.uk, 16, 16, 2, 
52.27.70.87, 15, 15, 1, 
127.0.0.1:8000, 9832, 9832, 44, 
10.207.146.10, 265, 265, 4, 
assay.sandbox.enz.local, 43, 43, 2, 
cmdcolin.github.io, 330, 330, 101, 
128.196.64.225, 1, 1, 1, 
192.168.100.151, 2, 2, 2, 
172.28.1.177:1339, 483, 483, 2, 
amereslab.imba.oeaw.ac.at, 2, 2, 1, 
analysis.caris.archerdx.com, 128, 128, 6, 
www.legumeinfo.org, 24, 24, 13, 
172.28.1.115:1339, 18, 18, 1, 
bioinfo.sibs.ac.cn, 3, 3, 2, 
ellens-macbook.local:8001, 24, 24, 1, 
gbrowse-dev.corp.zoetis.com:9080, 14, 14, 1, 
sjcbiodev.driscolls.com:8085, 8, 8, 1, 
10.8.10.54, 27, 27, 1, 
solgenomics.net, 175974, 175974, 10531, 
www.cassavabase.org, 100, 100, 23, 
ec2-54-243-5-104.compute-1.amazonaws.com, 3, 3, 1, 
cassava-test.sgn.cornell.edu, 38, 38, 1, 
cassavabase.org, 36, 36, 8, 
192.168.1.230, 37, 37, 3, 
10.74.106.1, 3, 3, 1, 
10.230.9.219, 11, 11, 3, 
127.0.0.1:10080, 2, 2, 1, 
fagus.seselab.org, 1, 1, 1, 
ec2-54-157-23-122.compute-1.amazonaws.com, 2, 2, 1, 
142.150.214.76:8080, 7, 7, 1, 
iarc96.imis.si, 1, 1, 1, 
128.192.99.48:8080, 1, 1, 1, 
104.197.108.136, 1, 1, 1, 
172.25.69.30, 296, 296, 23, 
10.200.10.87:8443, 21, 21, 1, 
archer.ngslab, 16, 16, 1, 
mpc-jbrowse.phc.ruhr-uni-bochum.de, 51, 51, 5, 
10.46.169.69:8080, 37, 37, 2, 
10.10.83.81, 31, 31, 2, 
fierstworms.ua.edu:8080, 1, 1, 1, 
104.197.32.231, 14, 14, 5, 
sjcbioweb01.driscolls.com:8080, 32, 32, 1, 
203.171.230.69:8080, 1, 1, 1, 
192.168.72.38:6002, 1, 1, 1, 
rna.sysu.edu.cn, 2908, 2908, 387, 
222.200.187.174, 291, 291, 6, 
webapollo.science.uu.nl, 642, 642, 64, 
ebbextern, 23, 23, 2, 
157.92.24.222:8081, 177, 177, 2, 
192.168.13.40, 1, 1, 1, 
ec2-54-197-194-135.compute-1.amazonaws.com, 2, 2, 1, 
serinus.hci.utah.edu, 24, 24, 2, 
52.38.205.133, 23, 23, 1, 
10.199.24.250, 170, 170, 2, 
sina.lbl.gov, 40, 40, 7, 
genebrowser.lifemodules.org, 56, 56, 12, 
192.168.1.125, 1, 1, 1, 
dev1.ab.wurnet.nl:8007, 29, 29, 1, 
210.218.222.23, 1, 1, 1, 
140.120.203.103:5438, 11, 11, 4, 
10.88.200.171:8443, 1, 1, 1, 
localhost:81, 178, 178, 2, 
10.24.15.10, 2, 2, 1, 
128.206.129.194, 2, 2, 1, 
ellen-rh1:8000, 20, 20, 1, 
localjbrowse-1.12.0, 93, 93, 1, 
citrusgreening.org, 10, 10, 1, 
cuhkopsqa.pdx.aws, 15, 15, 2, 
www.sgn.cornell.edu, 3344, 3344, 341, 
edge-dev-master.lanl.gov, 5, 5, 2, 
nagrp5.ansci.iastate.edu:2211, 2, 2, 1, 
www.solgenomics.net, 4781, 4781, 299, 
ftp.solgenomics.net, 29, 29, 10, 
192.168.130.205, 1, 1, 1, 
solgenomics.org, 204, 204, 24, 
lfemjds.solgenomics.net, 3, 3, 2, 
172.28.1.170:1339, 3, 3, 1, 
gva.cornut.org, 96, 96, 9, 
cr28603.uzbrussel.be:83, 259, 259, 1, 
kzdl6022:9080, 13, 13, 1, 
tim-macbook-pro.local:8000, 6, 6, 1, 
192.168.56.196, 1, 1, 1, 
192.168.99.100:32775, 1, 1, 1, 
sand, 15, 15, 1, 
ngspipelines.toulouse.inra.fr:9021, 3, 3, 2, 
polebio.lrsv.ups-tlse.fr, 109, 109, 1, 
mary:8080, 97, 97, 3, 
localhost:9033, 31, 31, 1, 
172.25.137.88:9033, 75, 75, 1, 
biowebdev01.nhgri.nih.gov, 4, 4, 2, 
172.24.5.160, 1, 1, 1, 
172.24.4.39, 116, 116, 2, 
aquarius.mskcc.org, 1248, 1248, 6, 
w-fgandolfi, 17, 17, 1, 
sgn.cornell.edu, 1198, 1198, 131, 
155.100.217.34, 2, 2, 1, 
biominer-b2b.hci.utah.edu, 133, 133, 10, 
www.artichokegenome.unito.it, 39, 39, 13, 
0.0.0.0:3000, 18, 18, 3, 
210.34.84.49, 121, 121, 13, 
togo05.genes.nig.ac.jp, 18, 18, 2, 
210.46.85.201:8080, 204, 204, 7, 
59.79.248.217, 96, 96, 14, 
moffittdevqa.pdx.aws, 36, 36, 1, 
193.146.35.134:8080, 1, 1, 1, 
218.106.117.181:8714, 345, 345, 13, 
pfizerchodev.bxgenomics.com, 1, 1, 1, 
genome-browser.indiana.edu, 219, 219, 22, 
fierstworms.ua.edu, 172, 172, 21, 
10.22.57.121, 820, 820, 1, 
54.208.106.49, 4, 4, 1, 
genome.microbedb.jp, 13995, 13995, 1234, 
sid.projects.mrt.ac.lk:3000, 28, 28, 7, 
54.213.96.151, 401, 401, 11, 
dev.novocraft.com, 638, 638, 10, 
139.165.112.252, 221, 221, 3, 
rkalv058751.kau.roche.com:8080, 20, 20, 1, 
192.168.53.203:9100, 24, 24, 1, 
mississippi.snv.jussieu.fr, 5, 5, 2, 
moea01.u.hpc.mssm.edu, 70, 70, 2, 
demoopsqa.pdx.aws, 79, 79, 4, 
142.3.188.121, 777, 777, 34, 
10.1.10.4, 7, 7, 4, 
mines.legumeinfo.org, 879, 879, 79, 
archer4011ipu.chop.edu, 1289, 1289, 5, 
192.168.1.135, 3, 3, 2, 
172.28.1.172:1339, 878, 878, 6, 
novopc3, 42, 42, 1, 
172.20.20.103, 27, 27, 1, 
138.102.92.3, 4, 4, 1, 
portal.vartotal.net, 214, 214, 8, 
10.4.4.11, 3, 3, 1, 
galaxy-epi, 121, 121, 3, 
nfmc.res.in, 6, 6, 3, 
genegarden.com, 3, 3, 2, 
192.168.99.101:32774, 1, 1, 1, 
192.168.99.101:32775, 4, 4, 1, 
meta.uoregon.edu, 12, 12, 4, 
134.192.156.46, 15, 15, 2, 
sachsfs01.bio.tamu.edu, 1, 1, 1, 
192.168.99.100:32782, 1, 1, 1, 
172.20.20.13, 7, 7, 2, 
hpc2, 2, 2, 1, 
hpc3, 2, 2, 1, 
54.210.225.43, 11, 11, 1, 
192.168.239.109, 1, 1, 1, 
192.168.99.101:32779, 1, 1, 1, 
192.168.99.101:32770, 4, 4, 1, 
192.168.99.100:32786, 4, 4, 1, 
cassbase.org, 2, 2, 2, 
192.168.99.100:32787, 1, 1, 1, 
43.240.99.150, 17, 17, 6, 
192.168.99.100:32788, 3, 3, 2, 
ec2-52-91-144-59.compute-1.amazonaws.com, 8, 8, 1, 
202.90.159.218, 261, 261, 9, 
biodb.swu.edu.cn, 3, 3, 2, 
hicp.big.ac.cn, 2070, 2070, 25, 
goblin2.medisapiens.com, 96, 96, 5, 
jbrowse.roche.com:8080, 684, 684, 7, 
5.28.62.148, 10, 10, 1, 
tamarindo.scilifelab.se, 1, 1, 1, 
127.0.0.1:3000, 130, 130, 7, 
jbrowsebios.com, 201, 201, 2, 
dev.medicinalplantgenomics.msu.edu, 4, 4, 1, 
ec2-54-208-53-19.compute-1.amazonaws.com, 8, 8, 2, 
160.10.11.179, 25, 25, 4, 
192.168.99.100:32789, 2, 2, 1, 
192.168.78.128:1339, 13, 13, 1, 
11.11.11.11, 24, 24, 2, 
old-gep.wustl.edu, 913, 913, 29, 
gbrowse.bcid.ca, 2, 2, 1, 
192.168.99.100:32792, 4, 4, 1, 
192.168.78.129:1339, 2, 2, 1, 
vizit.io, 8, 8, 1, 
192.168.78.130:1339, 24, 24, 1, 
192.168.78.131:1339, 15, 15, 1, 
192.168.50.128:1338, 111, 111, 1, 
192.168.78.132:1339, 9, 9, 1, 
neo.snubi.org:9595, 33, 33, 2, 
hal012.ad62.riken.go.jp:10910, 9, 9, 1, 
137.189.133.65, 15, 15, 1, 
inovaopsqa.pdx.aws, 5, 5, 3, 
hal012.ad62.riken.go.jp:10520, 3, 3, 1, 
192.168.50.14:1338, 1046, 1046, 14, 
efam.nzcorp.net:3030, 4, 4, 1, 
efam.nzcorp.net:3015, 12, 12, 3, 
192.168.5.186, 21, 21, 1, 
192.168.99.100:32769, 7, 7, 3, 
ec2-54-175-34-13.compute-1.amazonaws.com, 16, 16, 1, 
192.168.99.100:32772, 12, 12, 1, 
webapollo2.vectorbase.org:8080, 1, 1, 1, 
st131data.liv.ac.uk, 55, 55, 27, 
gregorylab.bio.upenn.edu, 57, 57, 26, 
aklppr31:9080, 1, 1, 1, 
192.168.78.133:1339, 189, 189, 4, 
ec2-54-197-22-148.compute-1.amazonaws.com, 12, 12, 2, 
aklppr31.pfr.co.nz.:9080, 4197, 4197, 2, 
bias4.nibb.ac.jp:8095, 39, 39, 5, 
192.168.220.128:8080, 5, 5, 1, 
192.168.50.14:1332, 15, 15, 1, 
192.168.50.14:1331, 22, 22, 1, 
biominer.bime.ntu.edu.tw, 9, 9, 9, 
beta.immunobase.org, 1726, 1726, 395, 
ec2-52-207-241-75.compute-1.amazonaws.com, 3, 3, 1, 
localhost:8086, 6, 6, 1, 
10.253.61.133, 4, 4, 1, 
134.121.247.55, 288, 288, 16, 
watson.plantphys.umu.se:8098, 14, 14, 2, 
192.168.1.126, 1, 1, 1, 
137.189.43.148, 3, 3, 2, 
172.16.54.4, 39, 39, 5, 
analytics.itb.cnr.it, 25, 25, 1, 
ec2-52-207-245-18.compute-1.amazonaws.com, 2, 2, 1, 
192.168.99.100:32770, 25, 25, 3, 
cgr.liv.ac.uk, 303, 303, 34, 
bioinf-galaxian.erasmusmc.nl, 7, 7, 4, 
kzdl1059:9080, 1, 1, 1, 
kzdl1059.corp.zoetis.com:9080, 4, 4, 2, 
ec2-54-89-70-94.compute-1.amazonaws.com, 4, 4, 1, 
ec2-107-23-181-226.compute-1.amazonaws.com, 3, 3, 1, 
localhost:8092, 270, 270, 12, 
107.23.126.211, 8, 8, 3, 
im-crop.snu.ac.kr, 7, 7, 2, 
novopc5, 46, 46, 1, 
localhost:8003, 17, 17, 2, 
wakeforestopsqa.pdx.aws, 32, 32, 5, 
172.20.20.105, 3, 3, 2, 
ec2-107-23-126-211.compute-1.amazonaws.com, 19, 19, 1, 
pfizercho.bxgenomics.com, 1, 1, 1, 
jbrowse.corp.zoetis.com:9080, 45, 45, 1, 
ec2-54-237-222-18.compute-1.amazonaws.com, 2, 2, 1, 
jbrowse-test-1, 124, 124, 1, 
jt6-cosmic.sandbox.sanger.ac.uk, 57, 57, 8, 
fahcdevqa.pdx.aws, 2, 2, 1, 
157.92.24.249:8081, 4, 4, 1, 
192.168.1.203, 233, 233, 18, 
10.81.129.45, 6, 6, 1, 
ec2-54-164-32-54.compute-1.amazonaws.com, 3, 3, 1, 
192.168.99.100:32768, 7, 7, 1, 
soybase.top, 3, 3, 2, 
10.0.7.66, 129, 129, 18, 
192.168.100.187, 1, 1, 1, 
sxjbrowsex64d.biogemma.fr, 12, 12, 1, 
cgrd.tgir.org, 5, 5, 1, 
91.134.141.45, 110, 110, 13, 
ec2-52-91-73-20.compute-1.amazonaws.com, 4, 4, 1, 
jbrowse.roche.com, 428, 428, 5, 
dev-spn.platomics.com, 8, 8, 1, 
125.217.165.26, 10, 10, 3, 
phyzen-lab.com, 5, 5, 2, 
gbcs.embl.de, 1, 1, 1, 
raid2016.nibb.ac.jp, 1, 1, 1, 
vm65-188.iplantcollaborative.org, 1, 1, 1, 
192.168.50.95, 4, 4, 1, 
vm65-198.iplantcollaborative.org, 1, 1, 1, 
vm65-200.iplantcollaborative.org, 1, 1, 1, 
vm65-194.iplantcollaborative.org, 3, 3, 1, 
vm65-179.iplantcollaborative.org, 4, 4, 1, 
vm65-171.iplantcollaborative.org, 1, 1, 1, 
vm65-197.iplantcollaborative.org, 1, 1, 1, 
vm65-174.iplantcollaborative.org, 2, 2, 1, 
vm65-184.iplantcollaborative.org, 1, 1, 1, 
vm65-182.iplantcollaborative.org, 1, 1, 1, 
vm65-181.iplantcollaborative.org, 2, 2, 1, 
vm65-199.iplantcollaborative.org, 1, 1, 1, 
192.168.99.100:32771, 4, 4, 1, 
dev.burkholderia.com, 47, 47, 4, 
130.113.155.253, 3, 3, 1, 
ec2-107-23-252-27.compute-1.amazonaws.com, 10, 10, 1, 
bldr-tst-analysis-02, 3, 3, 1, 
ec2-52-90-62-18.compute-1.amazonaws.com, 7, 7, 1, 
giarchive, 3, 3, 1, 
ngspipelines2.toulouse.inra.fr:9007, 8, 8, 3, 
tornado.bio1.rwth-aachen.de, 7, 7, 3, 
prashantiopsqa.pdx.aws, 34, 34, 1, 
ctjbrowse01.jax.org, 23, 23, 2, 
10.1.1.11, 1, 1, 1, 
210.218.217.106, 1715, 1715, 23, 
soybase.top:8080, 1, 1, 1, 
192.168.1.203:8080, 11, 11, 3, 
10.230.9.182, 1, 1, 1, 
www.hentze.embl.de, 95, 95, 1, 
localhost:8004, 3, 3, 1, 
localhost:8005, 5, 5, 1, 
localhost:8006, 6, 6, 1, 
localhost:8007, 5, 5, 1, 
localhost:8055, 1, 1, 1, 
localhost:8056, 3, 3, 1, 
localhost:8057, 2, 2, 1, 
localhost:8058, 6, 6, 1, 
localhost:8059, 6, 6, 1, 
localhost:8060, 5, 5, 1, 
localhost:8061, 8, 8, 1, 
localhost:8062, 2, 2, 1, 
localhost:8063, 3, 3, 1, 
localhost:8064, 3, 3, 1, 
localhost:8066, 2, 2, 1, 
localhost:8067, 3, 3, 1, 
localhost:8068, 2, 2, 1, 
localhost:8100, 5, 5, 1, 
localhost:8101, 5, 5, 1, 
localhost:8102, 7, 7, 1, 
localhost:8105, 2, 2, 1, 
localhost:8106, 3, 3, 1, 
localhost:8107, 1, 1, 1, 
localhost:8108, 1, 1, 1, 
10.124.128.172, 207, 207, 1, 
192.168.1.41, 1, 1, 1, 
aklppr31.pfr.co.nz:9080, 5, 5, 1, 
old-gander.wustl.edu, 2, 2, 1, 
142.150.214.61:8080, 4, 4, 1, 
192.168.50.15:1338, 34, 34, 4, 
wkoppb31.pfr.co.nz:8081, 6, 6, 1, 
ngspipelines2.toulouse.inra.fr:9008, 5, 5, 1, 
sweetpotatobase.org, 1, 1, 1, 
bf2i300.insa-lyon.fr:1980, 83, 83, 6, 
cerrtranscript.umcs.pl, 1, 1, 1, 
cr28603.uzbrussel.be, 1537, 1537, 14, 
v0720:8080, 57, 57, 4, 
115.146.89.122, 1, 1, 1, 
genomevolution.com, 3, 3, 2, 
210.72.92.156, 45, 45, 3, 
ec2-52-90-40-124.compute-1.amazonaws.com, 3, 3, 2, 
localhost:32769, 2, 2, 2, 
localhost:7000, 5, 5, 1, 
54.201.172.115, 652, 652, 69, 
ec2-52-39-167-106.us-west-2.compute.amazonaws.com, 1, 1, 1, 
flower.bio.uni-potsdam.de, 19, 19, 6, 
192.168.1.22, 2, 2, 1, 
jbrowse.biochen.com, 35, 35, 4, 
133.11.2.86:8080, 10, 10, 1, 
solgenomics.com, 15, 15, 4, 
192.168.1.80, 3236, 3236, 37, 
www.solgenomics.com, 82, 82, 4, 
210.72.92.207, 64, 64, 2, 
ec2-54-164-161-148.compute-1.amazonaws.com, 27, 27, 1, 
192.168.1.101:8080, 243, 243, 4, 
115.146.95.144, 3, 3, 2, 
104.131.132.101, 4, 4, 1, 
158.109.215.68, 97, 97, 7, 
mmodev2.sb-roscoff.fr:8080, 1, 1, 1, 
203.201.62.93, 12, 12, 2, 
ngspipelines.toulouse.inra.fr:9019, 1, 1, 1, 
158.109.215.18, 2763, 2763, 6, 
www.gcorre.net, 3, 3, 1, 
10.140.65.127, 20, 20, 2, 
10.90.75.247:8080, 18, 18, 5, 
192.168.122.158, 8, 8, 1, 
75.101.248.64:8080, 1, 1, 1, 
ec2-52-23-206-189.compute-1.amazonaws.com, 16, 16, 2, 
ec2-54-87-132-217.compute-1.amazonaws.com, 1, 1, 1, 
test.mylab.com.tw:3003, 7, 7, 2, 
172.28.1.181:1339, 19, 19, 1, 
133.26.84.101, 233, 233, 5, 
people.binf.ku.dk, 14, 14, 7, 
